"title";"description";"year";"director";"country";"image_url";"genres"
"Star Wars: Episode III - Revenge of the Sith";"Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice – Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring – the twin children born in secrecy who will grow up to become heroes.";"2005";"George Lucas";"США";"http://example.com/image.jpg";"Science fiction,Adventure,Action"
"Star Wars: Episode II - Attack of the Clones";"Ten years after the invasion of Naboo, the galaxy is on the brink of civil war. Under the leadership of a renegade Jedi named Count Dooku, thousands of solar systems threaten to break away from the Galactic Republic. When an assassination attempt is made on Senator Padmé Amidala, the former Queen of Naboo, twenty-year-old Jedi apprentice Anakin Skywalker is assigned to protect her. In the course of his mission, Anakin discovers his love for Padmé as well as his own darker side. Soon, Anakin, Padmé, and Obi-Wan Kenobi are drawn into the heart of the Separatist movement and the beginning of the Clone Wars.";"2002";"George Lucas";"США";"http://example.com/image.jpg";"Adventure,Action,Science fiction"
"Monsters, Inc.";"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.";"2001";"Pete Docter";"США";"http://example.com/image.jpg";"Animation,Comedy,Family"
"The Wolverine";"Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan.";"2013";"James Mangold";"Великобритания";"http://example.com/image.jpg";"Action,Science fiction,Adventure,Fantasy"
"Star Wars: Episode I - The Phantom Menace";"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.";"1999";"George Lucas";"США";"http://example.com/image.jpg";"Adventure,Action,Science fiction"
"The Croods";"The Croods is a prehistoric comedy adventure that follows the world's first family as they embark on a journey of a lifetime when the cave that has always shielded them from danger is destroyed. Traveling across a spectacular landscape, the Croods discover an incredible new world filled with fantastic creatures -- and their outlook is changed forever.";"2013";"Chris Sanders";"США";"http://example.com/image.jpg";"Adventure,Animation,Comedy,Family,Fantasy"
"Asterix at the Olympic Games";"Astérix and Obélix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina (portrayed by supermodel Vanessa Hessler). Brutus (Benoît Poelvoorde) uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar (Alain Delon) in the process.";"2008";"Thomas Langmann";"Belgium";"http://example.com/image.jpg";"Fantasy,Adventure,Comedy,Family"
"Windtalkers";"Joe Enders is a gung-ho Marine assigned to protect a ""windtalker"" - one of several Navajo Indians who were used to relay messages during World War II because their spoken language was indecipherable to Japanese code breakers.";"2002";"John Woo";"США";"http://example.com/image.jpg";"Drama,Action,History,War"
"The Huntsman: Winter's War";"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.";"2016";"Cedric Nicolas-Troyan";"США";"http://example.com/image.jpg";"Action,Adventure,Drama"
"Teenage Mutant Ninja Turtles";"The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.";"2014";"Jonathan Liebesman";"США";"http://example.com/image.jpg";"Science fiction,Action,Adventure,Fantasy,Comedy"
